|||||50|65|||||35|35|35|c
|BGCOLOR(#E7862B):|~RGB|Reguibat|レグイバート|分権型国家|公国|ビダン|||西サハラ|初期|||
|BGCOLOR(#2BDD9F):|~DLM|Delim|デリム|分権型国家|公国|ビダン|||西サハラ|初期|||
|BGCOLOR(#8F3738):|~DIN|Kel Dinnik|ケル・ディンニク|分権型国家|公国|トゥアレグ|||ニジェール|初期|||
|BGCOLOR(#537B28):|~ATR|Kel Ataram|ケル・アタラム|分権型国家|公国|トゥアレグ|||ティンブクトゥ|初期|||
|BGCOLOR(#0DA438):|~ADR|Adrar|アドラール|分権型国家|公国|ビダン|||内モーリタニア|初期|||
|BGCOLOR(#214078):|~BRK|Brakna|ブラクナ|分権型国家|公国|ハラティン|||モーリタニア|初期|||
|BGCOLOR(#30A960):|~HAW|Hawaii|ハワイ|非承認国家|王国|ハワイ|プロテスタント||ハワイ諸島|初期|||
|BGCOLOR(#3E5C36):|~NTU|Ngāi Tahu|ンガーイ・タフ|分権型国家|公国|マオリ|||南島|初期|||
|BGCOLOR(#94B9BE):|~NTO|Ngāti Toa|ンガーティ・トア|分権型国家|公国|マオリ|||北島|初期|||
|BGCOLOR(#BEAD67):|~KNK|Kanak|カナック|分権型国家|公国|メラネシア|||カナック|初期|||
|BGCOLOR(#5161AA):|~PPU|Papua|パプア|分権型国家|公国|メラネシア|||東ニューギニア|初期|||
|BGCOLOR(#D2B8DC):|~HLA|Halia|ハリア|分権型国家|公国|メラネシア|||ブーゲンビル|初期|||
|BGCOLOR(#8CA64B):|~BLA|Bilua|ビルア|分権型国家|公国|メラネシア|||ソロモン諸島|初期|||
|BGCOLOR(#8CA64B):|~BLG|Bulungan|ブルンガン|非承認国家|公国|ボルネオ|||東ボルネオ|初期|||
|BGCOLOR(#89583A):|~KTI|Kutai|クタイ|非承認国家|公国|ボルネオ|||東ボルネオ|初期|||
|BGCOLOR(#9FADDB):|~FJI|Fiji|フィジー|分権型国家|公国|メラネシア|||フィジー|初期|||
|BGCOLOR(#3666BE):|~SKH|Sakhalin|サハリン|分権型国家|公国|アイヌ&br;シベリア|||サハリン|初期|||
|BGCOLOR(#F8DA63):|~MCR|Micronesia|ミクロネシア|分権型国家|公国|ミクロネシア|||東ミクロネシア|初期|||
|BGCOLOR(#25D632):|~VNT|Vanuatu|バヌアツ|分権型国家|公国|メラネシア|||バヌアツ|初期|||
|BGCOLOR(#E78311):|~NRU|Nauru|ナウル|分権型国家|公国|メラネシア|||ナウル|初期|||
|BGCOLOR(#B03E88):|~PLY|Tahiti|タヒチ|非承認国家|公国|ポリネシア|プロテスタント||タヒチ|初期|||
|BGCOLOR(#2F8CBF):|~AOT|Aotearoa|アオテアロア|非承認国家|王国|マオリ|||北島|||形成|
|BGCOLOR(#703610):|~ULR|Uluru|ウルル|分権型国家|公国|アボリジニ|||ノーザンテリトリー||||
|BGCOLOR(#72A5CB):|~NSW|New South Wales|ニュー・サウス・ウェールズ|植民地国家|公国|オーストラリア|||ニューサウスウェールズ|初期|||
|BGCOLOR(#767361):|~WAS|Western Australia|西オーストラリア|植民地国家|公国|オーストラリア|||西オーストラリア|初期|||
|BGCOLOR(#AA5A80):|~SAS|South Australia|南オーストラリア|植民地国家|公国|オーストラリア|||南オーストラリア|初期|||
|BGCOLOR(#AAA797):|~UNT|United Tribes|部族連合|非承認国家|公国|マオリ|プロテスタント||北島|初期|||
|BGCOLOR(#D1A06B):|~NNG|Noongar|ヌーンガル|分権型国家|公国|アボリジニ|||西オーストラリア|初期|||
|BGCOLOR(#F5D486):|~KAU|Kaurna|ガウナ|非承認国家|公国|アボリジニ|||南オーストラリア|初期|解放||
|BGCOLOR(#5BBF53):|~GML|Gamilaraay|カミラロイ|分権型国家|公国|アボリジニ|||ニューサウスウェールズ||||
|BGCOLOR(#4D8B6A):|~AST|Australia|オーストラリア|植民地国家|王国|オーストラリア|||ニューサウスウェールズ||解放|形成|
|BGCOLOR(#5AFA7F):|~NZL|New Zealand|ニュージーランド|植民地国家|公国|オーストラリア|||北島||解放||
|BGCOLOR(#E0C298):|~TAS|Tasmania|タスマニア|植民地国家|公国|オーストラリア|||ヴィクトリア|初期|||
|BGCOLOR(#145050):|~DEI|East Indies|東インド諸島|植民地国家|公国|オランダ|||西ジャワ|初期|||
|BGCOLOR(#15C444):|~SAK|Siak|シアク|非承認国家|公国|スマトラ|||北スマトラ|初期|解放||
|BGCOLOR(#FF6666):|~PON|Pontianak|ポンティアナック|非承認国家|公国|ボルネオ|||西ボルネオ|初期|解放||
|BGCOLOR(#6666FF):|~SMB|Sambas|サンバス|非承認国家|公国|ボルネオ|||西ボルネオ|初期|解放||
|BGCOLOR(#DFE4C0):|~JMB|Jambi|ジャンビ|非承認国家|公国|スマトラ|||北スマトラ|初期|解放||
|BGCOLOR(#C91C36):|~YOG|Yogyakarta|ジョクジャカルタ|非承認国家|公国|ジャワ|||中央ジャワ|初期|解放||
|BGCOLOR(#EF3340):|~SRK|Surakarta|スラカルタ|非承認国家|公国|ジャワ|||中央ジャワ|初期|解放||
|BGCOLOR(#D1CB1F):|~BTN|Buton|ブトゥン|非承認国家|公国|モルッカ|||セレベス|初期|解放||
|BGCOLOR(#F9D73D):|~SEL|Selangor|セランゴール|非承認国家|公国|マレー|||マラヤ|初期|解放||
|BGCOLOR(#4C7A75):|~PRK|Perak|ペラ|非承認国家|公国|マレー|||マラヤ|初期|解放||
|BGCOLOR(#59A490):|~SUL|Sulu|スールー|非承認国家|公国|モロ|||ミンダナオ|初期|解放||
|BGCOLOR(#990000):|~SLW|Sulawesi|スラウェシ|分権型国家|公国|モルッカ|||セレベス|初期|||
|BGCOLOR(#B0E840):|~TID|Tidore|ティドレ|非承認国家|公国|モルッカ|||モルッカ|初期|解放||
|BGCOLOR(#FFFF00):|~STG|Sintang|シンタン|非承認国家|公国|ボルネオ|||西ボルネオ|初期|解放||
|BGCOLOR(#ABAF28):|~BNJ|Banjar|バンジャール|非承認国家|公国|ボルネオ|||東ボルネオ|初期|解放||
|BGCOLOR(#008080):|~IDN|Indonesia|インドネシア|承認国|帝国|バリ&br;バタク&br;ボルネオ&br;ダヤク&br;ジャワ&br;マレー&br;モルッカ&br;スマトラ|||西ジャワ|||形成|
|BGCOLOR(#77201D):|~MGD|Maguindanao|マギンダナオ|非承認国家|公国|モロ|||ミンダナオ|初期|||
|BGCOLOR(#612C60):|~YUZ|Yuanzhumin|台湾原住民|非承認国家|公国|台湾原住民|||台湾||解放||
|BGCOLOR(#F48C1E):|~PNS|Polynesia|ポリネシア|非承認国家|帝国|ハワイ&br;マオリ&br;メラネシア&br;ポリネシア&br;ミクロネシア&br;台湾原住民|||ハワイ諸島|||形成|
|BGCOLOR(#367010):|~WTI|Wati|ワティ|分権型国家|公国|アボリジニ|||西オーストラリア|初期|||
|BGCOLOR(#0371D3):|~MRN|Mirning|ミルニング|分権型国家|公国|アボリジニ|||西オーストラリア|初期|||
|BGCOLOR(#FFFFCC):|~MND|Mindanao|ミンダナオ|分権型国家|公国|ルマッド|||ミンダナオ|初期|||
